"Name","Address","Phone","Rating","Reviews","Google Maps","Message","Status","Category"
"Tree Service By Northwest","278 106th Ave NE Suite 202, Bellevue, WA 98004, USA","(425) 699-7581","4.9","75","https://maps.google.com/?cid=18370705483036311667&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil — I live in Sammamish and recently started helping local service businesses get set up online. I came across Tree Service By Northwest on Google. I saw your great reviews — 4.9 stars with 75 reviews is no joke. I noticed you don't have a website yet — I think a lot more customers could find you if you did. I actually put together a quick preview of what your site could look like: welcomematdigital.com/sites/tree-service-by-northwest — Would you be open to chatting about how I can help with that? No pressure either way.","reached out","Tree Service"
"Legacy Services Carpet cleaning LLC","4040 Auburn Way N, Auburn, WA 98002, USA","(206) 660-1987","4.9","45","https://maps.google.com/?cid=14624192828886277251&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil — I live in Sammamish and recently started helping local service businesses get set up online. I came across Legacy Services Carpet cleaning LLC on Google. I saw your great reviews — 4.9 stars with 45 reviews is no joke. I noticed you don't have a website yet — I think a lot more customers could find you if you did. I actually put together a quick preview of what your site could look like: welcomematdigital.com/sites/legacy-services-carpet-cleaning-llc — Would you be open to chatting about how I can help with that? No pressure either way.","reached out","Carpet Cleaning"
"D. K. Carpet, Floor Cleaning and Repairs LLC","25407 132nd Ave SE, Kent, WA 98042, USA","(253) 630-1004","4.6","36","https://maps.google.com/?cid=1809018569938863348&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil — I live in Sammamish and recently started helping local service businesses get set up online. I came across D. K. Carpet, Floor Cleaning and Repairs LLC on Google. I saw your great reviews — 4.6 stars with 36 reviews is no joke. I noticed you don't have a website yet — I think a lot more customers could find you if you did. I actually put together a quick preview of what your site could look like: welcomematdigital.com/sites/d-k-carpet-floor-cleaning-and-repairs-llc — Would you be open to chatting about how I can help with that? No pressure either way.","reached out","Carpet Cleaning"
"Aloha Junk Removal","21807 Quiet Water Loop E, Lake Tapps, WA 98391, USA","(425) 371-6556","5","33","https://maps.google.com/?cid=5316912053966269704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil — I live in Sammamish and recently started helping local service businesses get set up online. I came across Aloha Junk Removal on Google. I saw your great reviews — 5 stars with 33 reviews is no joke. I noticed you don't have a website yet — I think a lot more customers could find you if you did. I actually put together a quick preview of what your site could look like: welcomematdigital.com/sites/aloha-junk-removal — Would you be open to chatting about how I can help with that? No pressure either way.","reached out","Junk Removal"
"Bigfoot tree care","401 3rd Ave S, Kent, WA 98032, USA","(253) 293-1046","4.9","27","https://maps.google.com/?cid=18425781612964869512&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil — I live in Sammamish and recently started helping local service businesses get set up online. I came across Bigfoot tree care on Google. I saw your great reviews — 4.9 stars with 27 reviews is no joke. I noticed you don't have a website yet — I think a lot more customers could find you if you did. I actually put together a quick preview of what your site could look like: welcomematdigital.com/sites/bigfoot-tree-care — Would you be open to chatting about how I can help with that? No pressure either way.","reached out","Tree Service"
"Forest Corps","515 116th Ave NE Ste 221, Bellevue, WA 98004, USA","(425) 525-8433","5","24","https://maps.google.com/?cid=2746251769292255596&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil -- I live in Sammamish and help local service businesses get set up online. I came across Forest Corps on Google -- 5 stars with 24 reviews is impressive. I noticed you don't have a website yet. I actually build sites for tree service businesses -- here's an example of what yours could look like: welcomematdigital.com/demos/tree-service/ -- Would you be open to a quick chat? No pressure either way.","reached out","Tree Service"
"Green Knight Landscaping & Nursery","9625 Observation Dr, Kirkland, WA 98033, USA","(206) 550-3285","4.8","21","https://maps.google.com/?cid=12136530668119981258&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil -- I live in Sammamish and help local service businesses get set up online. I came across Green Knight Landscaping & Nursery on Google -- 4.8 stars with 21 reviews is impressive. I noticed you don't have a website yet. I actually build sites for landscaping businesses -- here's an example of what yours could look like: welcomematdigital.com/demos/landscaping-v2/ -- Would you be open to a quick chat? No pressure either way.","reached out","Landscaping"
"K C Landscaping","31226 168th Way SE, Auburn, WA 98092, USA","(253) 631-3071","5","19","https://maps.google.com/?cid=8788518725221380200&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil -- I live in Sammamish and help local service businesses get set up online. I came across K C Landscaping on Google -- 5 stars with 19 reviews is impressive. I noticed you don't have a website yet. I actually build sites for landscaping businesses -- here's an example of what yours could look like: welcomematdigital.com/demos/landscaping-v2/ -- Would you be open to a quick chat? No pressure either way.","reached out","Landscaping"
"A1 Hauling - JunkerChunker","823 240th St SE, Bothell, WA 98021, USA","(206) 406-7095","4.2","19","https://maps.google.com/?cid=8937889506185906502&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil -- I live in Sammamish and help local service businesses get set up online. I came across A1 Hauling - JunkerChunker on Google -- 4.2 stars with 19 reviews is impressive. I noticed you don't have a website yet. I actually build sites for junk removal businesses -- here's an example of what yours could look like: welcomematdigital.com/demos/clear-it-out-junk-removal/ -- Would you be open to a quick chat? No pressure either way.","reached out","Junk Removal"
"safari quality painting","Auburn, WA 98092, USA","(206) 697-3035","4.7","14","https://maps.google.com/?cid=6027114012822702325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Hi, I'm Sunil -- I live in Sammamish and help local service businesses get set up online. I came across safari quality painting on Google -- 4.7 stars with 14 reviews is impressive. I noticed you don't have a website yet. I actually build sites for painting businesses -- here's an example of what yours could look like: welcomematdigital.com/demos/ -- Would you be open to a quick chat? No pressure either way.","reached out","Painting"
